Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-03-18,ICICIBANK,EQ,367.25,369.1,375.5,342.3,358.0,355.05,356.54,61204129,2182191559925000.0,941197,27858198,0.45520000000000005
2020-03-19,ICICIBANK,EQ,355.05,336.1,369.6,323.0,335.4,338.55,340.96,57986210,1977122668150000.0,510635,23315477,0.4021
2020-03-20,ICICIBANK,EQ,338.55,328.0,359.8,323.0,344.4,345.7,341.93,88640850,3030875231825000.0,742628,39930494,0.45049999999999996
2020-03-23,ICICIBANK,EQ,345.7,311.15,313.7,280.0,282.4,284.0,291.38,56868412,1657059057505000.0,510598,31297623,0.5504
2020-03-24,ICICIBANK,EQ,284.0,295.3,305.0,268.3,298.55,296.5,289.43,67896591,1965149121120000.0,586196,33557735,0.49420000000000003
2020-03-25,ICICIBANK,EQ,296.5,284.0,334.15,281.6,315.15,316.9,306.77,66545735,2041424348434999.8,813004,28180857,0.42350000000000004
2020-03-26,ICICIBANK,EQ,316.9,322.0,364.4,314.25,331.5,330.25,339.77,76174000,2588150945070000.0,820649,27134191,0.35619999999999996
2020-03-27,ICICIBANK,EQ,330.25,355.8,359.55,326.0,338.5,339.85,342.6,72890796,2497261140030000.0,820234,23218167,0.3185
2020-03-30,ICICIBANK,EQ,339.85,330.1,333.9,311.1,315.1,313.4,324.03,36560532,1184661570145000.0,525988,11680088,0.3195
2020-03-31,ICICIBANK,EQ,313.4,324.7,334.85,316.0,320.4,323.75,325.29,46280029,1505456235135000.0,485411,15465328,0.3342
2020-04-01,ICICIBANK,EQ,323.75,319.0,323.75,308.1,311.5,311.15,314.2,33142102,1041325317479999.9,363679,11070397,0.334
2020-04-03,ICICIBANK,EQ,311.15,309.5,309.5,281.5,288.0,286.65,291.84,57330285,1673128685670000.0,531869,25041960,0.4368
2020-04-07,ICICIBANK,EQ,286.65,308.3,329.6,296.85,324.8,326.1,312.21,57662681,1800271727265000.2,516940,15771963,0.2735
2020-04-08,ICICIBANK,EQ,326.1,322.85,352.75,315.1,317.65,318.95,328.87,73931642,2431382866350000.0,716901,23456793,0.3173
2020-04-09,ICICIBANK,EQ,318.95,332.4,345.0,322.65,342.0,342.7,335.25,52432049,1757801963895000.0,513643,13244134,0.25260000000000005
2020-04-13,ICICIBANK,EQ,342.7,341.05,345.8,329.25,331.1,330.65,335.6,30995409,1040195761100000.0,308507,6711383,0.2165
2020-04-15,ICICIBANK,EQ,330.65,342.7,351.9,325.0,328.5,327.35,340.23,49134201,1671700750660000.0,466734,13223129,0.2691
2020-04-16,ICICIBANK,EQ,327.35,325.3,347.8,319.35,342.85,342.0,335.88,56494211,1897531755380000.0,519194,15601137,0.2762
2020-04-17,ICICIBANK,EQ,342.0,362.0,385.5,349.05,375.0,375.55,361.31,69008019,2493304954680000.0,949891,14016794,0.2031
2020-04-20,ICICIBANK,EQ,375.55,376.0,378.9,357.0,361.75,361.3,370.43,55811178,2067390343980000.0,636846,15614026,0.2798
2020-04-21,ICICIBANK,EQ,361.3,341.0,346.2,328.0,329.8,331.85,335.93,50118816,1683664048960000.0,526838,14419656,0.2877
2020-04-22,ICICIBANK,EQ,331.85,326.0,338.0,323.05,336.5,335.95,330.79,49115661,1624699952300000.0,470641,8929162,0.1818
2020-04-23,ICICIBANK,EQ,335.95,340.25,354.8,338.0,350.8,352.95,347.48,45953483,1596813903960000.0,413227,11223941,0.24420000000000003
2020-04-24,ICICIBANK,EQ,352.95,337.9,343.25,331.5,337.05,334.85,337.01,38513311,1297935748920000.0,414126,10567552,0.27440000000000003
2020-04-27,ICICIBANK,EQ,334.85,339.3,352.9,338.0,346.3,347.9,346.35,38981101,1350108039980000.0,344753,12387917,0.3178
2020-04-28,ICICIBANK,EQ,347.9,353.75,362.85,350.25,361.0,359.85,357.2,32934538,1176415854860000.0,290804,9305910,0.2826
2020-04-29,ICICIBANK,EQ,359.85,353.0,376.5,351.65,367.65,370.45,364.58,39342166,1434328587045000.0,415320,10509163,0.2671
2020-04-30,ICICIBANK,EQ,370.45,382.0,392.95,374.15,377.7,380.15,384.03,45735197,1756384915059999.8,413914,13787089,0.3015
2020-05-04,ICICIBANK,EQ,380.15,359.0,359.0,336.0,340.0,338.05,344.06,38837866,1336258463045000.0,619031,16659042,0.4289
2020-05-05,ICICIBANK,EQ,338.05,348.0,348.0,329.55,332.0,330.85,339.92,45071600,1532071994985000.0,413360,11783573,0.2614
2020-05-06,ICICIBANK,EQ,330.85,331.5,345.55,325.25,342.8,341.4,338.49,49953121,1690854030300000.0,447408,10790619,0.21600000000000003
2020-05-07,ICICIBANK,EQ,341.4,337.0,342.9,333.7,337.9,336.75,338.15,27657193,935218569704999.9,251905,8274614,0.2992
2020-05-08,ICICIBANK,EQ,336.75,344.0,352.5,333.7,335.65,337.7,345.29,42970794,1483725799310000.0,383834,11404524,0.26539999999999997
2020-05-11,ICICIBANK,EQ,337.7,341.0,343.55,318.2,322.1,320.15,329.1,83666044,2753414782115000.0,824877,25156605,0.3007
2020-05-12,ICICIBANK,EQ,320.15,318.3,324.4,308.0,322.8,321.2,314.78,69072372,2174250251865000.2,624472,20117447,0.2913
2020-05-13,ICICIBANK,EQ,321.2,343.5,348.4,332.3,337.2,338.05,340.48,72818140,2479329317425000.0,679918,23323711,0.32030000000000003
2020-05-14,ICICIBANK,EQ,338.05,330.0,334.5,325.65,327.5,327.4,328.85,33999679,1118088156600000.0,312099,8106832,0.2384
2020-05-15,ICICIBANK,EQ,327.4,329.3,330.55,318.8,322.0,322.7,321.66,31829841,1023839604900000.0,358099,7401923,0.2325
2020-05-18,ICICIBANK,EQ,322.7,320.0,320.5,293.25,300.6,298.5,301.15,74034470,2229559195500000.0,685127,26767293,0.3616
2020-05-19,ICICIBANK,EQ,298.5,307.05,311.5,297.1,300.8,300.3,303.93,61828639,1879139951425000.0,490924,17004256,0.275
2020-05-20,ICICIBANK,EQ,300.3,299.0,308.25,297.5,307.0,305.65,302.96,42239472,1279697332915000.0,348560,10626620,0.2516
2020-05-21,ICICIBANK,EQ,305.65,306.0,312.8,302.0,304.1,304.4,307.94,43076017,1326472323380000.0,331641,11922114,0.2768
2020-05-22,ICICIBANK,EQ,304.4,301.0,307.7,285.55,292.4,291.05,292.56,80359014,2350958513570000.0,618533,28347870,0.3528
2020-05-26,ICICIBANK,EQ,291.05,296.05,297.9,290.0,293.9,292.7,293.6,46684636,1370647909315000.0,395358,21277791,0.4558
2020-05-27,ICICIBANK,EQ,292.7,296.1,321.95,294.85,318.9,318.85,309.63,80543561,2493860637760000.0,576076,22672214,0.2815
2020-05-28,ICICIBANK,EQ,318.85,322.25,329.75,320.75,325.75,326.85,325.76,66136528,2154476950505000.0,516589,22633045,0.3422
2020-05-29,ICICIBANK,EQ,326.85,322.9,334.3,320.0,330.0,331.95,327.02,60488688,1978102444725000.0,411098,24938469,0.4123
2020-06-01,ICICIBANK,EQ,331.95,339.0,348.0,336.2,337.85,339.25,342.99,44025817,1510028196290000.0,379479,14279838,0.32439999999999997
2020-06-02,ICICIBANK,EQ,339.25,337.0,350.0,332.5,349.0,348.4,342.85,47558564,1630538889280000.0,373966,13546527,0.2848
2020-06-03,ICICIBANK,EQ,348.4,357.9,373.0,353.8,357.5,356.85,364.19,69689849,2538008701940000.0,565060,21005817,0.3014
2020-06-04,ICICIBANK,EQ,356.85,357.0,363.0,345.5,348.2,347.85,352.31,57061955,2010348259505000.0,426171,16454349,0.2884
2020-06-05,ICICIBANK,EQ,347.85,350.0,360.0,347.0,359.8,357.2,352.85,37251290,1314412226135000.0,284472,8065873,0.2165
2020-06-08,ICICIBANK,EQ,357.2,366.55,373.75,353.15,361.0,359.8,364.08,46827650,1704907097775000.0,391117,11947272,0.2551
2020-06-09,ICICIBANK,EQ,359.8,360.05,369.35,345.25,346.3,348.55,358.88,47622914,1709101671135000.0,349317,12332422,0.259
2020-06-10,ICICIBANK,EQ,348.55,348.55,356.85,345.3,356.45,353.0,350.18,36292503,1270899458605000.0,274845,6812421,0.1877
