Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-11,JSWSTEEL,EQ,190.95,188.0,190.85,183.55,185.7,184.65,187.49,6481994,121531752200000.0,49297,919616,0.1419
2020-06-12,JSWSTEEL,EQ,184.65,177.0,190.2,175.45,188.0,188.95,183.7,9000558,165335781150000.0,52726,1323194,0.147
2020-06-15,JSWSTEEL,EQ,188.95,185.95,186.45,179.95,183.55,183.75,183.11,12059372,220819852465000.0,63087,2683988,0.22260000000000002
2020-06-16,JSWSTEEL,EQ,183.75,189.0,195.95,185.75,189.0,190.05,191.79,23464025,450024462375000.0,114332,3094305,0.1319
2020-06-17,JSWSTEEL,EQ,190.05,188.75,194.45,185.8,191.3,191.85,191.04,11912711,227581409185000.0,62622,2210936,0.1856
2020-06-18,JSWSTEEL,EQ,191.85,189.0,194.05,188.0,193.5,193.4,192.07,8868746,170340756825000.0,50868,1902719,0.2145
2020-06-19,JSWSTEEL,EQ,193.4,195.1,197.35,192.7,193.35,194.3,194.58,18204886,354237178350000.0,64538,8921655,0.4901
2020-06-22,JSWSTEEL,EQ,194.3,194.9,199.9,193.0,199.7,197.95,195.72,11091702,217089699235000.0,53107,3840435,0.3462
2020-06-23,JSWSTEEL,EQ,197.95,198.1,203.9,198.1,200.75,201.65,201.78,14850064,299637977685000.0,82472,3023092,0.3274
2020-06-24,JSWSTEEL,EQ,201.65,206.95,207.75,192.35,194.5,193.9,201.08,19739136,396915572160000.0,100455,5258024,0.2664
2020-06-25,JSWSTEEL,EQ,193.9,192.15,197.35,191.0,194.2,193.55,195.01,9502767,185318148675000.0,51306,2454722,0.2583
2020-06-26,JSWSTEEL,EQ,193.55,195.65,197.5,191.55,193.1,192.65,194.36,6960491,135284813590000.02,47432,1910401,0.2745
2020-06-29,JSWSTEEL,EQ,192.65,192.5,192.95,185.65,190.7,190.7,188.49,7560301,142500389375000.0,46966,1282197,0.1696
2020-06-30,JSWSTEEL,EQ,190.7,191.15,195.6,187.8,189.1,189.35,191.45,11450934,219233782340000.0,66446,2766457,0.2416
2020-07-01,JSWSTEEL,EQ,189.35,190.3,193.05,188.55,191.6,191.45,190.85,8343254,159234167475000.0,40226,2896766,0.3472
2020-07-02,JSWSTEEL,EQ,191.45,192.35,195.0,190.05,194.5,194.45,192.66,9164240,176559000690000.0,40229,3377097,0.3685
2020-07-03,JSWSTEEL,EQ,194.45,195.7,196.5,190.5,191.0,190.95,192.62,6610649,127332770970000.0,36493,1949117,0.2948
2020-07-06,JSWSTEEL,EQ,190.95,192.15,195.25,190.5,193.5,193.75,193.74,10803795,209315911075000.0,47439,4648509,0.4303
2020-07-07,JSWSTEEL,EQ,193.75,194.7,194.75,190.25,190.5,190.85,191.96,6564431,126008436055000.0,41232,2239081,0.3411
2020-07-08,JSWSTEEL,EQ,190.85,191.0,202.0,191.0,195.25,195.35,197.46,22609621,446446765735000.06,120445,6384896,0.2824
2020-07-09,JSWSTEEL,EQ,195.35,196.35,202.75,196.1,197.95,197.45,199.42,14801828,295184117370000.0,90633,3892852,0.263
2020-07-10,JSWSTEEL,EQ,197.45,196.0,196.0,191.0,193.45,193.3,193.12,10893405,210376762475000.0,63471,2487954,0.2284
2020-07-13,JSWSTEEL,EQ,193.3,195.4,199.8,195.25,199.6,198.4,197.4,11050735,218138370435000.0,57145,3416149,0.3091
2020-07-14,JSWSTEEL,EQ,198.4,198.0,198.4,191.65,193.7,194.05,193.97,7233291,140306261450000.0,46956,1963067,0.27140000000000003
2020-07-15,JSWSTEEL,EQ,194.05,196.0,199.85,193.4,195.4,194.9,197.53,9389574,185473439650000.0,46213,2763936,0.2944
2020-07-16,JSWSTEEL,EQ,194.9,194.0,201.9,192.6,201.0,201.15,198.33,13647306,270667139385000.0,70979,4166906,0.3053
2020-07-17,JSWSTEEL,EQ,201.15,203.2,211.8,202.65,206.5,206.75,207.99,23873501,496548197060000.06,141065,5853572,0.2452
2020-07-20,JSWSTEEL,EQ,206.75,207.5,208.85,204.0,205.85,206.8,206.55,6380397,131786452770000.0,47702,1640843,0.2572
2020-07-21,JSWSTEEL,EQ,206.8,208.0,210.75,204.15,210.7,209.95,207.58,5672048,117742838850000.0,41619,1280189,0.2257
2020-07-22,JSWSTEEL,EQ,209.95,211.0,214.0,204.1,206.25,207.0,209.88,9323617,195679725490000.0,60822,1595685,0.1711
2020-07-23,JSWSTEEL,EQ,207.0,206.9,210.5,205.45,208.8,209.35,208.67,5251159,109577117584999.98,33733,669445,0.1275
2020-07-24,JSWSTEEL,EQ,209.35,206.0,211.6,203.25,204.0,205.0,206.75,8215298,169854995890000.0,47055,1850733,0.22530000000000003
2020-07-27,JSWSTEEL,EQ,205.0,202.05,208.5,200.1,206.75,206.95,205.25,10548105,216502112965000.0,60798,1405023,0.1332
2020-07-28,JSWSTEEL,EQ,206.95,208.1,215.75,207.45,214.05,214.9,212.23,9785198,207673220485000.0,64769,1766614,0.18050000000000002
2020-07-29,JSWSTEEL,EQ,214.9,214.05,220.95,213.85,218.65,217.55,218.68,11276308,246586441119999.97,70536,1239297,0.1099
2020-07-30,JSWSTEEL,EQ,217.55,218.65,221.95,213.15,214.0,214.35,216.57,6483799,140419599715000.02,40300,1374745,0.212
2020-07-31,JSWSTEEL,EQ,214.35,214.5,221.25,213.3,220.45,220.25,218.44,7306693,159609034325000.0,43364,1869910,0.2559
2020-08-03,JSWSTEEL,EQ,220.25,221.0,225.45,218.65,219.5,220.55,221.67,9867115,218727486975000.0,57401,2241680,0.22719999999999999
2020-08-04,JSWSTEEL,EQ,220.55,221.55,229.25,219.15,228.2,228.1,224.99,9878205,222247973710000.0,61164,2665627,0.2698
2020-08-05,JSWSTEEL,EQ,228.1,228.5,236.2,228.15,234.75,235.15,232.85,11076862,257926567900000.0,67822,2019101,0.18230000000000002
2020-08-06,JSWSTEEL,EQ,235.15,235.0,239.95,232.5,239.65,239.5,236.47,10772820,254739843644999.97,62893,3026437,0.2809
2020-08-07,JSWSTEEL,EQ,239.5,236.8,241.0,235.8,239.45,240.2,239.5,6794779,162734878885000.0,45686,2158642,0.3177
2020-08-10,JSWSTEEL,EQ,240.2,241.0,246.35,238.55,246.0,245.2,242.22,6482352,157014130225000.0,44151,1143266,0.1764
2020-08-11,JSWSTEEL,EQ,245.2,246.5,255.5,246.3,254.85,253.75,252.85,15124909,382437562215000.0,87350,3312714,0.219
2020-08-12,JSWSTEEL,EQ,253.75,252.0,257.9,249.05,257.5,256.8,253.24,8055616,203999211660000.0,48075,1328960,0.165
2020-08-13,JSWSTEEL,EQ,256.8,258.1,264.0,255.85,259.3,258.6,259.41,14516418,376572195760000.0,66316,4509819,0.31070000000000003
2020-08-14,JSWSTEEL,EQ,258.6,259.0,267.3,257.55,265.25,265.35,263.12,13200307,347329758160000.0,79714,2352336,0.1782
2020-08-17,JSWSTEEL,EQ,265.35,266.9,271.25,263.2,270.8,269.6,266.99,10757867,287227312685000.0,71587,1137297,0.1057
2020-08-18,JSWSTEEL,EQ,269.6,270.6,279.2,267.35,278.0,277.15,272.63,10683706,291271385110000.0,67927,2458900,0.2302
2020-08-19,JSWSTEEL,EQ,277.15,278.0,279.9,274.2,277.85,278.55,276.81,10287307,284765414675000.0,58889,2438782,0.2371
2020-08-20,JSWSTEEL,EQ,278.55,273.0,284.5,271.15,283.5,282.65,280.14,11325005,317255190220000.0,71973,2634126,0.23260000000000003
2020-08-21,JSWSTEEL,EQ,282.65,284.35,288.0,280.35,281.0,281.9,284.52,10884179,309676083845000.0,58012,3230354,0.2968
2020-08-24,JSWSTEEL,EQ,281.9,284.15,287.25,282.6,285.25,285.75,285.07,9488675,270492140740000.0,63064,2536523,0.26730000000000004
2020-08-25,JSWSTEEL,EQ,285.75,286.55,287.25,280.15,284.2,284.9,283.64,7787006,220871827980000.03,50795,1813952,0.2329
2020-08-26,JSWSTEEL,EQ,284.9,285.5,286.85,283.15,285.3,286.2,285.57,5278655,150743899250000.0,37719,1601749,0.3034
2020-08-27,JSWSTEEL,EQ,286.2,285.35,290.75,283.8,288.75,289.3,286.87,5931448,170156711525000.0,42828,1141878,0.1925
2020-08-28,JSWSTEEL,EQ,289.3,285.5,289.75,280.05,281.0,280.7,283.97,11914490,338331739770000.0,88753,3878000,0.32549999999999996
