Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-07-30,RELIANCE,EQ,2096.65,2099.0,2139.7,2072.0,2101.9,2108.85,2111.03,33624516,7098238095639999.0,663693,6855972,0.2039
2020-07-31,RELIANCE,EQ,2108.85,2114.5,2129.0,2052.8,2070.0,2067.1,2077.02,34593375,7185118591955000.0,748942,9000404,0.2602
2020-08-03,RELIANCE,EQ,2067.1,2051.3,2057.0,2003.1,2007.65,2009.0,2029.05,21560137,4374666808100000.0,515571,6839066,0.3172
2020-08-04,RELIANCE,EQ,2009.0,2020.6,2167.0,2000.25,2158.4,2150.6,2098.08,42477225,8912049492539999.0,827312,7253795,0.17079999999999998
2020-08-05,RELIANCE,EQ,2150.6,2169.0,2196.0,2118.3,2132.1,2126.45,2153.72,34405886,7410054522195000.0,704272,3949479,0.11480000000000001
2020-08-06,RELIANCE,EQ,2126.45,2157.0,2167.7,2107.8,2136.55,2134.1,2139.59,22762726,4870281122225000.0,468092,3095157,0.136
2020-08-07,RELIANCE,EQ,2134.1,2129.8,2157.8,2120.2,2146.0,2146.45,2141.31,15222384,3259583372575000.0,329099,3705643,0.2434
2020-08-10,RELIANCE,EQ,2146.45,2159.1,2165.0,2108.1,2121.6,2119.85,2136.58,12441939,2658316111875000.0,300073,2893247,0.2325
2020-08-11,RELIANCE,EQ,2119.85,2134.8,2160.0,2100.35,2132.85,2133.8,2133.3,21611359,4610343113635000.0,491594,4174558,0.1932
2020-08-12,RELIANCE,EQ,2133.8,2121.0,2145.0,2106.8,2126.55,2127.6,2129.79,13967529,2974785819340000.0,308155,2213804,0.1585
2020-08-13,RELIANCE,EQ,2127.6,2128.0,2138.9,2110.0,2125.8,2122.05,2122.69,11459251,2432447396920000.0,266729,3601994,0.3143
2020-08-14,RELIANCE,EQ,2122.05,2122.55,2157.0,2089.25,2112.0,2113.8,2129.96,15333759,3266026815155000.0,346390,2362119,0.154
2020-08-17,RELIANCE,EQ,2113.8,2105.0,2105.0,2070.1,2094.05,2091.35,2085.65,14297224,2981905466820000.0,324590,2115024,0.1479
2020-08-18,RELIANCE,EQ,2091.35,2085.0,2134.3,2082.35,2120.2,2118.55,2118.58,14097932,2986753754870000.0,281219,2559498,0.1816
2020-08-19,RELIANCE,EQ,2118.55,2141.0,2154.0,2121.35,2137.0,2131.55,2137.37,15731409,3362380759855000.0,288995,2518453,0.16010000000000002
2020-08-20,RELIANCE,EQ,2131.55,2120.0,2123.9,2088.0,2098.6,2097.05,2109.01,10402292,2193850443584999.8,267102,2363592,0.22719999999999999
2020-08-21,RELIANCE,EQ,2097.05,2118.0,2122.0,2077.0,2084.75,2081.85,2096.99,11667281,2446620811950000.0,296981,2236600,0.1917
2020-08-24,RELIANCE,EQ,2081.85,2091.4,2104.5,2070.5,2099.95,2095.75,2090.25,15099030,3156070978610000.0,323471,2697292,0.1786
2020-08-25,RELIANCE,EQ,2095.75,2106.0,2111.3,2078.0,2082.0,2082.1,2089.41,8947709,1869543404115000.2,202929,2014450,0.22510000000000002
2020-08-26,RELIANCE,EQ,2082.1,2085.0,2147.95,2047.0,2133.7,2137.3,2102.41,27631028,5809174744685000.0,533755,6707265,0.2427
2020-08-27,RELIANCE,EQ,2137.3,2148.0,2150.0,2103.25,2108.1,2110.6,2126.98,12962139,2757018576010000.0,297474,3408902,0.263
2020-08-28,RELIANCE,EQ,2110.6,2120.0,2132.9,2106.25,2116.0,2116.15,2118.85,12537684,2656545293410000.0,267973,2828812,0.2256
2020-08-31,RELIANCE,EQ,2116.15,2174.0,2174.0,2060.35,2070.0,2080.7,2118.64,28649141,6069721668885000.0,541760,7212259,0.25170000000000003
2020-09-01,RELIANCE,EQ,2080.7,2100.0,2122.4,2062.4,2092.0,2087.25,2091.83,17821488,3727952146450000.0,327904,4956555,0.2781
2020-09-02,RELIANCE,EQ,2087.25,2092.0,2138.0,2085.0,2128.55,2128.2,2119.29,12437209,2635805679285000.0,281041,3376204,0.2715
2020-09-03,RELIANCE,EQ,2128.2,2128.0,2138.75,2103.0,2114.0,2112.1,2112.86,8577741,1812358603030000.0,219117,3249170,0.3788
2020-09-04,RELIANCE,EQ,2112.1,2083.55,2096.95,2072.2,2080.0,2077.25,2084.73,13141705,2739693657055000.0,365456,5968727,0.45420000000000005
2020-09-07,RELIANCE,EQ,2077.25,2084.0,2105.75,2044.25,2099.6,2082.65,2071.8,10119099,2096470749900000.0,255801,2619452,0.2589
2020-09-08,RELIANCE,EQ,2082.65,2092.0,2121.0,2080.5,2103.1,2107.1,2108.01,12643762,2665323981640000.0,287150,2734033,0.2162
2020-09-09,RELIANCE,EQ,2107.1,2085.0,2167.8,2081.45,2163.55,2161.35,2136.84,25526055,5454504444100000.0,531323,5716097,0.22390000000000002
2020-09-10,RELIANCE,EQ,2161.35,2183.1,2344.95,2175.35,2319.0,2314.0,2275.51,64751766,1.4734336314235e+16,1233053,12172158,0.188
2020-09-11,RELIANCE,EQ,2314.0,2312.0,2337.85,2287.1,2315.0,2319.75,2318.58,27445883,6363541247745000.0,599768,6427971,0.23420000000000002
2020-09-14,RELIANCE,EQ,2319.75,2325.0,2360.0,2282.0,2296.25,2302.55,2323.57,20335480,4725094126735000.0,450188,3578138,0.17600000000000002
2020-09-15,RELIANCE,EQ,2302.55,2311.95,2325.75,2288.15,2324.0,2318.85,2311.23,12543161,2899011097815000.0,270331,2498608,0.19920000000000002
2020-09-16,RELIANCE,EQ,2318.85,2320.0,2369.35,2310.55,2324.9,2324.55,2339.46,15669133,3665737088794999.5,321651,3528875,0.2252
2020-09-17,RELIANCE,EQ,2324.55,2320.0,2333.7,2291.85,2296.0,2298.75,2310.29,11919991,2753857698355000.0,286325,3285052,0.2756
2020-09-18,RELIANCE,EQ,2298.75,2314.25,2319.45,2276.55,2303.6,2305.7,2305.1,15264101,3518525264585000.0,219641,6340779,0.4154
2020-09-21,RELIANCE,EQ,2305.7,2300.0,2336.0,2247.35,2250.0,2255.85,2291.38,15519433,3556097745515000.0,342489,5046850,0.32520000000000004
2020-09-22,RELIANCE,EQ,2255.85,2277.0,2277.0,2201.55,2220.05,2211.15,2225.36,16056621,3573170847855000.5,348897,6138633,0.3823
2020-09-23,RELIANCE,EQ,2211.15,2260.0,2276.75,2205.3,2228.0,2230.8,2242.58,19839809,4449226534230000.5,384190,3749875,0.189
2020-09-24,RELIANCE,EQ,2230.8,2207.9,2226.0,2176.05,2195.0,2181.2,2200.65,13765321,3029260568825000.0,328090,4092237,0.2973
2020-09-25,RELIANCE,EQ,2181.2,2189.0,2212.8,2167.3,2198.85,2201.7,2191.17,13095950,2869547156135000.0,329859,2793738,0.2133
2020-09-28,RELIANCE,EQ,2201.7,2227.0,2238.0,2207.05,2218.0,2216.25,2221.39,9076787,2016306260355000.0,213955,1610375,0.17739999999999997
2020-09-29,RELIANCE,EQ,2216.25,2225.0,2264.0,2216.25,2241.9,2245.05,2242.3,11927459,2674496768050000.0,269649,2301443,0.193
2020-09-30,RELIANCE,EQ,2245.05,2260.0,2267.0,2225.0,2231.0,2234.35,2251.01,11291280,2541674070385000.0,232560,2777751,0.24600000000000002
2020-10-01,RELIANCE,EQ,2234.35,2263.8,2263.8,2214.0,2229.05,2225.25,2237.62,9591467,2146201462770000.0,237645,2356434,0.2457
2020-10-05,RELIANCE,EQ,2225.25,2244.0,2249.15,2206.0,2215.0,2212.2,2222.94,8732890,1941264975580000.0,237138,1671283,0.19140000000000001
2020-10-06,RELIANCE,EQ,2212.2,2225.25,2233.9,2201.65,2213.0,2210.35,2213.64,8497352,1881004090825000.0,230575,2565411,0.3019
2020-10-07,RELIANCE,EQ,2210.35,2235.0,2309.0,2220.0,2259.4,2257.5,2276.27,24538620,5585649576145000.0,542898,3167121,0.1291
2020-10-08,RELIANCE,EQ,2257.5,2259.0,2268.0,2222.1,2241.5,2239.25,2242.24,9727508,2181143728525000.0,251543,2761519,0.2839
2020-10-09,RELIANCE,EQ,2239.25,2235.0,2253.0,2217.1,2239.0,2233.45,2232.05,8558747,1910358264840000.2,215729,2908038,0.3398
2020-10-12,RELIANCE,EQ,2233.45,2235.0,2255.75,2226.25,2236.0,2237.05,2239.55,6565525,1470380436710000.0,146831,1868691,0.2846
2020-10-13,RELIANCE,EQ,2237.05,2230.6,2285.75,2225.85,2279.0,2280.7,2259.76,10666280,2410320910425000.0,255851,3449962,0.3234
2020-10-14,RELIANCE,EQ,2280.7,2278.9,2304.0,2268.5,2283.0,2287.5,2284.78,12341487,2819758949685000.0,281008,4373851,0.3544
2020-10-15,RELIANCE,EQ,2287.5,2290.0,2290.0,2195.0,2203.25,2206.5,2241.04,9246893,2072263924659999.8,265699,3100443,0.33530000000000004
2020-10-16,RELIANCE,EQ,2206.5,2215.0,2232.5,2172.65,2178.0,2175.8,2197.33,9961080,2188777600980000.0,287579,2106731,0.2115
2020-10-19,RELIANCE,EQ,2175.8,2190.05,2228.7,2155.15,2175.5,2176.2,2189.75,14399062,3153033226255000.0,363717,3772907,0.262
2020-10-20,RELIANCE,EQ,2176.2,2179.0,2193.0,2152.25,2155.85,2155.9,2166.54,8529621,1847974268770000.0,275082,2119328,0.24850000000000003
2020-10-21,RELIANCE,EQ,2155.9,2168.0,2192.0,2097.75,2122.65,2124.6,2143.87,15729989,3372312535195000.0,399065,3975978,0.2528
2020-10-22,RELIANCE,EQ,2124.6,2127.4,2132.5,2091.0,2111.9,2106.95,2107.04,14215255,2995211511475000.0,391498,5836281,0.4106
2020-10-23,RELIANCE,EQ,2106.95,2106.0,2135.0,2096.4,2112.0,2113.05,2118.9,10809383,2290405363390000.0,265187,3551502,0.3286
2020-10-26,RELIANCE,EQ,2113.05,2101.95,2101.95,2018.5,2034.9,2029.1,2052.69,17225340,3535832255555000.5,581238,6324776,0.36719999999999997
2020-10-27,RELIANCE,EQ,2029.1,2034.9,2059.85,2005.0,2034.4,2034.5,2026.38,16835011,3411408850560000.0,462764,5199796,0.3089
2020-10-28,RELIANCE,EQ,2034.5,2041.8,2057.7,2007.4,2008.9,2011.45,2026.02,13810054,2797944235480000.0,413849,4822048,0.3492
2020-10-29,RELIANCE,EQ,2011.45,1997.0,2042.0,1991.0,2029.05,2026.9,2019.57,14147681,2857218590590000.0,382087,3346100,0.2365
2020-10-30,RELIANCE,EQ,2026.9,2033.5,2065.1,2021.8,2064.35,2054.5,2040.66,15701123,3204060725230000.0,349177,3880807,0.2472
2020-11-02,RELIANCE,EQ,2054.5,2027.0,2027.0,1859.15,1876.0,1877.45,1927.55,45857806,8839332014720000.0,1428490,12596880,0.2747
2020-11-03,RELIANCE,EQ,1877.45,1890.0,1909.0,1835.1,1854.5,1850.4,1873.92,40931170,7670176153914999.0,990935,11064654,0.27030000000000004
2020-11-04,RELIANCE,EQ,1850.4,1837.0,1929.0,1837.0,1910.5,1913.2,1893.24,37003111,7005565561420000.0,888904,6665864,0.1801
2020-11-05,RELIANCE,EQ,1913.2,1954.95,1960.95,1932.0,1956.8,1955.0,1949.03,17170274,3346529706550000.0,448665,5252804,0.3059
2020-11-06,RELIANCE,EQ,1955.0,1990.0,2040.0,1978.15,2025.0,2029.15,2015.72,30770080,6202388010420000.0,649196,8468704,0.2752
2020-11-09,RELIANCE,EQ,2029.15,2062.1,2069.0,2036.0,2051.0,2050.7,2051.91,16539467,3393750297420000.0,384188,6258441,0.37840000000000007
2020-11-10,RELIANCE,EQ,2050.7,2077.0,2090.0,2041.2,2089.0,2084.55,2071.86,17045147,3531516045080000.5,399073,6458474,0.3789
2020-11-11,RELIANCE,EQ,2084.55,2089.0,2095.0,1978.1,1999.8,1997.2,2027.8,26178477,5308461084515000.0,647679,9063191,0.3462
2020-11-12,RELIANCE,EQ,1997.2,1981.0,2008.45,1965.0,1981.75,1980.0,1987.14,18481466,3672521856260000.0,440630,6746860,0.3651
2020-11-13,RELIANCE,EQ,1980.0,1982.0,2036.65,1981.75,2000.05,1996.4,2007.38,20946864,4204826883165000.0,507695,5280992,0.2521
2020-11-14,RELIANCE,EQ,1996.4,2014.9,2015.3,1995.35,2001.55,2002.3,2005.96,2411900,483816382764999.94,99484,621485,0.2577
2020-11-17,RELIANCE,EQ,2002.3,2085.0,2085.0,1985.0,1994.8,1993.25,2013.16,21479385,4324136401515000.0,462630,5819797,0.27090000000000003
