Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-15,TECHM,EQ,554.7,557.0,560.5,543.4,547.0,548.8,550.53,3944764,217170515875000.0,79524,1618819,0.4104
2020-06-16,TECHM,EQ,548.8,556.95,556.95,531.15,533.9,533.3,541.76,4262601,230929562465000.0,105363,1428269,0.3351
2020-06-17,TECHM,EQ,533.3,531.0,545.0,528.4,535.05,535.55,538.64,6139354,330688611270000.0,129045,2877909,0.46880000000000005
2020-06-18,TECHM,EQ,535.55,535.05,540.0,531.0,536.0,535.9,535.09,2658699,142263245285000.0,98683,1286697,0.484
2020-06-19,TECHM,EQ,535.9,538.5,542.95,531.9,539.0,538.85,537.32,5570402,299310795940000.0,136878,3680935,0.6607999999999999
2020-06-22,TECHM,EQ,538.85,541.9,553.25,538.3,547.8,548.5,547.48,4352631,238296342085000.0,168535,2014495,0.46280000000000004
2020-06-23,TECHM,EQ,548.5,548.0,560.1,544.55,557.5,558.8,555.09,4438916,246401206144999.97,111062,1146677,0.5687
2020-06-24,TECHM,EQ,558.8,558.8,566.0,554.4,561.0,560.95,561.07,3500487,196401634570000.0,86027,1669572,0.47700000000000004
2020-06-25,TECHM,EQ,560.95,558.0,565.6,552.05,554.05,554.15,558.9,2386985,133408123805000.0,72275,1088918,0.4562
2020-06-26,TECHM,EQ,554.15,555.5,574.95,552.6,559.0,560.85,566.2,5289122,299471503745000.0,105569,2156273,0.40770000000000006
2020-06-29,TECHM,EQ,560.85,558.9,558.9,539.2,543.0,541.55,545.73,3304988,180364106735000.0,85338,1561053,0.4723
2020-06-30,TECHM,EQ,541.55,547.0,548.9,541.55,543.6,543.4,545.1,2357985,128533208409999.98,64777,904338,0.3835
2020-07-01,TECHM,EQ,543.4,544.0,547.35,536.05,546.75,545.9,542.17,3662565,198574968880000.0,106942,2051485,0.5601
2020-07-02,TECHM,EQ,545.9,549.9,562.5,542.5,562.5,560.85,554.33,5966758,330756687105000.0,156600,2951288,0.49460000000000004
2020-07-03,TECHM,EQ,560.85,565.9,572.25,561.05,565.35,567.2,565.93,4007492,226796334530000.03,112355,1926059,0.4806
2020-07-06,TECHM,EQ,567.2,574.95,588.0,573.05,580.7,581.55,581.54,4909648,285517773160000.0,103858,1580506,0.32189999999999996
2020-07-07,TECHM,EQ,581.55,583.85,592.5,577.1,586.0,586.85,586.65,5126702,300760392625000.0,104555,2130318,0.4155
2020-07-08,TECHM,EQ,586.85,589.95,593.9,576.1,581.7,583.45,584.86,3391025,198328854220000.0,75095,1703551,0.5024000000000001
2020-07-09,TECHM,EQ,583.45,583.45,587.7,572.05,576.45,577.3,578.65,2498149,144555699960000.0,47349,914181,0.36590000000000006
2020-07-10,TECHM,EQ,577.3,572.0,572.0,561.35,566.8,569.0,567.43,3959576,224677109625000.0,70328,1277662,0.32270000000000004
2020-07-13,TECHM,EQ,569.0,571.95,601.8,570.5,600.5,600.05,592.89,11008262,652671732595000.0,139715,2672961,0.24280000000000002
2020-07-14,TECHM,EQ,600.05,594.95,603.8,592.55,598.5,598.3,597.88,5525648,330367760905000.0,100616,1929572,0.3492
2020-07-15,TECHM,EQ,598.3,604.0,630.0,602.0,615.0,615.3,620.56,11907668,738942821955000.0,163399,3543213,0.29760000000000003
2020-07-16,TECHM,EQ,615.3,627.0,638.95,588.1,598.95,599.4,611.88,13010078,796061162060000.0,219173,3222275,0.2477
2020-07-17,TECHM,EQ,599.4,604.35,604.35,590.2,600.0,599.7,597.66,3307397,197669235625000.0,60615,773213,0.2338
2020-07-20,TECHM,EQ,599.7,603.85,625.95,598.5,625.5,622.85,610.51,5461611,333437656020000.0,88385,1308874,0.2396
2020-07-21,TECHM,EQ,622.85,630.0,631.8,615.35,620.0,620.7,621.74,4218958,262308794280000.03,75159,1070030,0.2536
2020-07-22,TECHM,EQ,620.7,618.0,626.45,611.55,616.9,617.95,618.27,2879839,178050544705000.0,51087,523335,0.18170000000000003
2020-07-23,TECHM,EQ,617.95,612.95,634.6,607.0,634.2,632.45,623.58,5038614,314198914300000.0,79873,973736,0.1933
2020-07-24,TECHM,EQ,632.45,632.5,655.4,625.25,654.9,652.6,642.61,12277458,788958055480000.0,173864,3077210,0.2506
2020-07-27,TECHM,EQ,652.6,657.0,671.75,642.8,663.5,664.55,662.97,11522408,763895646975000.0,146680,3312439,0.28750000000000003
2020-07-28,TECHM,EQ,664.55,670.0,702.75,667.0,688.85,684.35,686.66,23296517,1599680035345000.0,290457,3739114,0.1605
2020-07-29,TECHM,EQ,684.35,686.95,695.25,671.0,674.5,676.4,678.15,5436739,368692210765000.0,94097,1548420,0.2848
2020-07-30,TECHM,EQ,676.4,680.0,687.35,669.55,673.0,674.75,680.08,5126995,348677810735000.0,84018,1773241,0.34590000000000004
2020-07-31,TECHM,EQ,674.75,678.45,685.45,673.5,681.95,681.65,679.96,3114816,211796042870000.0,65788,920777,0.2956
2020-08-03,TECHM,EQ,681.65,685.95,686.95,669.55,674.5,673.6,677.04,3092997,209408155960000.0,59410,1176187,0.3803
2020-08-04,TECHM,EQ,673.6,675.0,676.65,650.2,654.8,652.65,657.23,5559111,365359537105000.0,112475,2228701,0.40090000000000003
2020-08-05,TECHM,EQ,652.65,655.0,661.5,642.55,649.45,648.55,651.64,5139376,334903419395000.0,69654,2183535,0.42490000000000006
2020-08-06,TECHM,EQ,648.55,656.0,666.85,649.15,660.5,660.35,658.15,8644011,568906746465000.0,98737,3025195,0.35000000000000003
2020-08-07,TECHM,EQ,660.35,657.75,668.0,654.4,664.0,662.45,662.7,3823898,253410283560000.0,68997,1508856,0.3946
2020-08-10,TECHM,EQ,662.45,668.0,687.35,662.7,684.0,681.85,675.92,5362306,362449392740000.0,78293,1576397,0.294
2020-08-11,TECHM,EQ,681.85,690.1,693.95,672.1,678.95,674.8,683.19,4331864,295949515650000.0,58893,1218794,0.28140000000000004
2020-08-12,TECHM,EQ,674.8,675.0,694.0,672.65,693.95,692.05,684.17,4355483,297989681050000.0,80575,1118136,0.25670000000000004
2020-08-13,TECHM,EQ,692.05,695.9,705.8,684.3,699.0,697.05,696.31,7108877,494996423495000.0,108134,1941427,0.2731
2020-08-14,TECHM,EQ,697.05,692.0,711.0,692.0,693.3,695.9,702.8,6476600,455177982425000.0,119174,2171326,0.33530000000000004
